,DEPT,GR_ARC,P28H_UNC,RHOB,TNPH,kmeans
10795,1870.25,57.03,1.81,2.43,0.25,2
10796,1870.41,55.23,1.83,2.44,0.25,2
10797,1870.56,54.38,1.84,2.45,0.24,2
10798,1870.71,52.96,1.86,2.44,0.22,2
10799,1870.86,52.62,1.79,2.43,0.21,2
10800,1871.01,55.23,1.68,2.43,0.21,2
10801,1871.17,55.45,1.71,2.43,0.19,2
10802,1871.32,55.5,1.72,2.41,0.14,2
10803,1871.47,52.85,1.7,2.41,0.16,2
10804,1871.62,51.72,1.7,2.39,0.17,2
10805,1871.78,51.5,1.7,2.4,0.18,2
10806,1871.93,49.39,1.75,2.41,0.23,2
10807,1872.08,46.6,1.91,2.42,0.24,2
10808,1872.23,42.0,1.93,2.42,0.23,0
10809,1872.39,39.67,1.9,2.41,0.22,0
10810,1872.54,39.96,1.73,2.38,0.23,2
10811,1872.69,41.83,1.72,2.37,0.23,2
10812,1872.84,42.46,1.72,2.36,0.24,2
10813,1873.0,41.2,1.93,2.34,0.23,2
10814,1873.15,40.28,1.97,2.35,0.23,2
10815,1873.3,42.78,1.7,2.35,0.23,2
10816,1873.45,46.94,1.6,2.37,0.24,2
10817,1873.61,51.04,1.7,2.37,0.25,2
10818,1873.76,50.8,1.7,2.37,0.24,2
10819,1873.91,48.98,1.76,2.37,0.23,2
10820,1874.06,45.51,1.68,2.35,0.22,2
10821,1874.22,43.41,1.63,2.35,0.22,3
10822,1874.37,43.7,1.6,2.35,0.21,3
10823,1874.52,45.36,1.6,2.34,0.22,3
10824,1874.67,47.69,1.58,2.34,0.22,3
10825,1874.82,51.14,1.6,2.33,0.23,3
10826,1874.98,57.1,1.67,2.35,0.22,2
10827,1875.13,63.33,1.72,2.36,0.22,2
10828,1875.28,65.76,2.06,2.37,0.23,2
10829,1875.43,65.88,2.05,2.35,0.23,2
10830,1875.59,66.22,2.05,2.33,0.24,2
10831,1875.74,67.71,1.69,2.33,0.25,2
10832,1875.89,67.13,1.48,2.33,0.26,2
10833,1876.04,66.91,1.38,2.37,0.25,2
10834,1876.2,70.31,1.37,2.43,0.27,2
10835,1876.35,76.44,1.37,2.52,0.28,2
10836,1876.5,82.62,1.42,2.64,0.3,1
10837,1876.65,87.62,1.42,2.56,0.3,1
10838,1876.81,99.78,1.14,2.48,0.3,1
11165,1926.64,97.73,2.67,2.42,0.17,2
11166,1926.79,65.22,1.34,2.33,0.16,3
11167,1926.95,36.5,1.09,2.29,0.16,3
11168,1927.1,19.82,1.05,2.29,0.17,3
11169,1927.25,18.68,1.01,2.28,0.17,3
11170,1927.4,17.22,0.97,2.27,0.18,3
11171,1927.56,16.299999999999997,0.97,2.27,0.19,3
11172,1927.71,14.719999999999999,1.01,2.27,0.19,3
11173,1927.86,13.920000000000002,0.97,2.28,0.19,3
11174,1928.01,15.79,0.78,2.29,0.19,3
11175,1928.16,16.739999999999995,0.79,2.28,0.19,3
11176,1928.32,17.83,0.88,2.27,0.19,3
11177,1928.47,16.47,0.9900000000000001,2.25,0.18,3
11178,1928.62,16.879999999999995,1.03,2.24,0.18,3
11179,1928.77,17.439999999999998,1.25,2.24,0.17,3
11180,1928.93,18.85,1.28,2.24,0.17,3
11181,1929.08,19.36,1.31,2.26,0.17,3
11182,1929.23,18.510000000000005,1.48,2.29,0.17,3
11183,1929.38,19.89,1.7,2.32,0.17,3
11184,1929.54,23.29,1.76,2.34,0.16,3
11185,1929.69,28.11,1.96,2.38,0.17,0
11186,1929.84,31.5,2.26,2.38,0.17,0
11187,1929.99,31.26,1.87,2.34,0.18,3
11188,1930.15,29.509999999999998,1.41,2.29,0.18,3
11189,1930.3,25.759999999999998,1.17,2.27,0.2,3
11190,1930.45,24.01,1.34,2.27,0.21,3
11191,1930.6,22.870000000000005,1.58,2.27,0.21,3
11192,1930.76,24.300000000000004,1.58,2.29,0.2,3
11193,1930.91,25.05,1.57,2.31,0.2,3
11194,1931.06,26.919999999999998,1.72,2.35,0.19,3
11195,1931.21,29.419999999999998,1.86,2.38,0.2,0
11196,1931.37,31.979999999999997,1.66,2.4,0.21,0
11197,1931.52,33.17,1.41,2.37,0.22,3
11198,1931.67,32.49,1.31,2.36,0.23,3
11199,1931.82,45.81,1.31,2.33,0.25,3
11200,1931.97,74.41,2.64,2.34,0.26,2
11201,1932.13,94.09,2.08,2.32,0.25,2
11202,1932.28,98.18,1.93,2.31,0.23,2
11203,1932.43,88.47,1.91,2.31,0.22,2
11204,1932.58,87.23,2.0,2.33,0.23,2
11205,1932.74,93.19,2.18,2.34,0.24,2
11206,1932.89,81.68,2.68,2.35,0.25,2
11207,1933.04,86.5,1.9,2.34,0.25,2
11208,1933.19,80.88,1.7,2.33,0.24,2
11209,1933.35,83.88,1.64,2.3,0.24,2
11210,1933.5,70.21,1.52,2.32,0.24,2
11211,1933.65,66.29,2.39,2.36,0.23,2
11212,1933.8,75.48,2.78,2.41,0.23,0
11215,1934.26,92.8,2.26,2.39,0.19,2
11216,1934.41,67.77,1.11,2.34,0.18,3
11217,1934.57,43.07,0.91,2.29,0.19,3
11218,1934.72,24.52,0.88,2.28,0.19,3
11219,1934.87,17.370000000000005,0.86,2.27,0.19,3
11220,1935.02,16.639999999999993,0.83,2.27,0.19,3
11221,1935.18,19.019999999999996,0.81,2.26,0.19,3
11222,1935.33,20.6,0.83,2.27,0.19,3
11223,1935.48,20.67,0.94,2.27,0.19,3
11224,1935.63,21.86,1.04,2.3,0.19,3
11225,1935.78,24.26,1.33,2.34,0.2,3
11226,1935.94,31.81,1.82,2.39,0.21,0
11227,1936.09,47.69,2.14,2.4,0.22,0
11228,1936.24,66.58,1.69,2.35,0.22,2
11229,1936.39,76.28,1.2,2.3,0.2,3
11230,1936.55,66.07,1.0700000000000003,2.31,0.2,3
11231,1936.7,46.65,1.0700000000000003,2.37,0.21,3
11232,1936.85,37.41,1.2,2.45,0.24,2
11233,1937.0,50.05,2.98,2.49,0.27,0
11249,1939.44,90.06,1.52,2.3,0.2,2
11250,1939.59,59.42,1.44,2.28,0.2,3
11251,1939.75,41.37,1.53,2.29,0.2,3
11252,1939.9,37.18,1.61,2.31,0.2,3
11253,1940.05,40.54,1.58,2.31,0.19,3
11254,1940.2,43.43,1.47,2.3,0.19,3
11255,1940.36,45.47,1.37,2.28,0.2,3
11256,1940.51,42.92,1.35,2.27,0.22,3
11257,1940.66,44.23,1.49,2.32,0.24,3
11258,1940.81,51.77,1.87,2.38,0.26,2
11259,1940.97,74.12,2.42,2.45,0.28,2
11262,1941.42,94.94,2.08,2.43,0.24,2
11263,1941.58,72.93,1.99,2.38,0.22,2
11264,1941.73,70.21,1.85,2.32,0.21,2
11265,1941.88,69.31,1.78,2.32,0.21,2
11266,1942.03,70.31,1.67,2.31,0.2,2
11267,1942.19,81.95,1.93,2.33,0.2,2
11268,1942.34,82.74,1.53,2.32,0.21,2
11269,1942.49,92.68,1.36,2.33,0.21,2
11270,1942.64,84.39,2.1,2.32,0.2,2
11271,1942.8,84.85,1.72,2.31,0.2,2
11272,1942.95,66.85,1.37,2.3,0.19,3
11273,1943.1,47.45,1.36,2.28,0.2,3
11274,1943.25,32.35,1.27,2.29,0.19,3
11275,1943.4,27.53,1.26,2.29,0.2,3
11276,1943.56,32.3,1.31,2.34,0.22,3
11277,1943.71,45.58,2.45,2.39,0.26,0
11284,1944.78,77.36,1.6,2.41,0.2,2
11285,1944.93,47.28,1.58,2.41,0.2,2
11286,1945.08,55.11,2.52,2.37,0.22,0
11302,1947.52,62.5,1.33,2.31,0.37,1
11303,1947.67,53.24,1.39,2.36,0.32,1
11304,1947.82,51.69,1.16,2.33,0.26,3
11305,1947.98,50.67,1.12,2.31,0.24,3
11306,1948.13,49.76,1.17,2.28,0.22,3
11307,1948.28,50.9,1.17,2.29,0.21,3
11308,1948.43,52.78,1.26,2.3,0.21,3
11309,1948.59,51.13,1.18,2.3,0.2,3
11310,1948.74,46.53,1.08,2.31,0.19,3
11311,1948.89,40.69,1.06,2.29,0.19,3
11312,1949.04,38.55,1.2,2.31,0.19,3
11313,1949.2,41.61,1.6,2.32,0.19,3
11314,1949.35,45.41,1.55,2.35,0.18,3
11315,1949.5,47.84,1.56,2.34,0.18,3
11316,1949.65,46.6,1.66,2.37,0.18,2
11317,1949.81,48.13,1.87,2.42,0.18,0
11318,1949.96,55.06,2.39,2.47,0.19,0
11319,1950.11,71.74,2.7,2.49,0.19,0
11320,1950.26,79.52,2.5,2.48,0.19,0
11321,1950.42,70.16,2.15,2.48,0.18,0
11322,1950.57,46.79,1.3,2.43,0.17,2
11323,1950.72,29.88,1.15,2.37,0.16,3
11324,1950.87,22.950000000000003,1.14,2.32,0.16,3
11325,1951.02,23.52,1.1,2.3,0.17,3
11326,1951.18,25.1,1.14,2.28,0.17,3
11327,1951.33,38.27,1.69,2.27,0.19,3
11328,1951.48,53.99,2.02,2.27,0.21,3
11329,1951.63,71.4,1.89,2.28,0.26,2
11330,1951.79,77.7,1.89,2.28,0.25,2
11331,1951.94,72.3,1.37,2.28,0.23,3
11332,1952.09,56.64,0.83,2.28,0.21,3
11333,1952.24,36.44,0.8,2.28,0.2,3
11334,1952.4,21.4,0.79,2.27,0.2,3
11335,1952.55,15.690000000000005,0.83,2.27,0.19,3
11336,1952.7,19.939999999999998,1.03,2.27,0.18,3
11337,1952.85,21.47,0.87,2.27,0.17,3
11338,1953.01,19.409999999999997,0.83,2.26,0.18,3
11339,1953.16,14.140000000000008,0.84,2.25,0.19,3
11340,1953.31,13.689999999999998,0.96,2.24,0.2,3
11341,1953.46,14.319999999999993,1.04,2.25,0.2,3
11342,1953.62,14.030000000000001,1.0700000000000003,2.28,0.19,3
11343,1953.77,14.189999999999998,1.16,2.3,0.2,3
11344,1953.92,17.760000000000005,1.74,2.32,0.19,3
11345,1954.07,21.68,2.06,2.36,0.19,0
11346,1954.23,27.070000000000004,2.69,2.39,0.18,0
11347,1954.38,32.86,2.9,2.44,0.19,0
11352,1955.14,91.03,2.74,2.34,0.19,2
11357,1955.9,85.24,2.15,2.53,0.23,2
11358,1956.05,76.05,2.16,2.49,0.23,2
11359,1956.21,80.69,2.19,2.47,0.22,2
11360,1956.36,96.35,2.64,2.42,0.21,2
11367,1957.43,91.66,2.46,2.4,0.21,2
11368,1957.58,88.15,2.33,2.39,0.22,2
11369,1957.73,89.39,2.3,2.38,0.23,2
11370,1957.88,96.81,2.91,2.38,0.26,2
11375,1958.64,93.07,1.39,2.31,0.22,2
11376,1958.8,75.18,1.37,2.3,0.23,2
11377,1958.95,65.2,1.26,2.3,0.21,3
11378,1959.1,57.71,1.21,2.31,0.19,3
11379,1959.25,50.24,1.29,2.3,0.18,3
11380,1959.41,44.84,1.35,2.33,0.18,3
11381,1959.56,40.47,1.27,2.35,0.19,3
11382,1959.71,43.47,1.36,2.37,0.2,3
11383,1959.86,54.48,1.6,2.37,0.21,2
11384,1960.02,68.16,1.69,2.36,0.21,2
11385,1960.17,73.39,1.74,2.34,0.21,2
11386,1960.32,73.1,1.77,2.33,0.21,2
11387,1960.47,72.37,2.15,2.36,0.21,2
11388,1960.63,77.02,2.44,2.4,0.22,2
11396,1961.85,76.49,1.01,2.32,0.22,3
11397,1962.0,54.65,1.02,2.26,0.21,3
11398,1962.15,44.84,1.01,2.27,0.2,3
11399,1962.3,44.79,1.02,2.28,0.2,3
11400,1962.45,48.93,1.15,2.31,0.2,3
11401,1962.61,51.99,1.15,2.31,0.21,3
11402,1962.76,50.05,1.17,2.32,0.21,3
11403,1962.91,45.51,1.17,2.32,0.2,3
11404,1963.06,46.53,1.24,2.31,0.2,3
11405,1963.22,54.14,1.23,2.31,0.2,3
11406,1963.37,60.39,1.29,2.32,0.22,3
11407,1963.52,59.36,1.31,2.33,0.22,3
11408,1963.67,58.9,1.51,2.33,0.22,2
11409,1963.83,63.62,1.74,2.37,0.21,2
11410,1963.98,76.17,2.28,2.4,0.21,2
11458,1971.29,68.49,0.82,2.58,0.28,1
11459,1971.45,77.24,0.65,2.4,0.27,1
11460,1971.6,98.52,0.61,2.28,0.26,1
11462,1971.9,84.68,0.6000000000000001,2.2,0.24,3
11463,1972.06,50.29,0.6000000000000001,2.22,0.24,3
11464,1972.21,27.36,0.64,2.24,0.24,3
11465,1972.36,18.629999999999995,0.64,2.24,0.23,3
11466,1972.51,20.21,0.64,2.22,0.24,3
11467,1972.67,21.129999999999995,0.61,2.2,0.24,3
11468,1972.82,21.25,0.64,2.21,0.24,3
11469,1972.97,21.15,0.76,2.23,0.25,3
11470,1973.12,21.83,0.76,2.26,0.25,3
11471,1973.28,23.63,0.82,2.25,0.26,3
11472,1973.43,24.76,0.64,2.23,0.25,3
11473,1973.58,25.54,0.64,2.21,0.24,3
11474,1973.73,23.96,0.67,2.21,0.23,3
11475,1973.88,21.47,0.73,2.22,0.24,3
11476,1974.04,22.83,1.13,2.22,0.25,3
11477,1974.19,31.52,2.02,2.18,0.26,3
11478,1974.34,48.01,2.1,2.21,0.25,3
11479,1974.49,62.14,1.3,2.22,0.24,3
11480,1974.65,70.19,1.3,2.29,0.23,3
11481,1974.8,67.48,0.92,2.29,0.24,3
11482,1974.95,59.43,1.02,2.31,0.25,3
11483,1975.1,65.44,1.88,2.28,0.26,2
11484,1975.26,78.94,2.05,2.29,0.26,2
11485,1975.41,96.64,1.6,2.28,0.25,1
11486,1975.56,92.51,1.03,2.3,0.23,1
11487,1975.71,75.6,0.72,2.25,0.22,3
11488,1975.87,58.7,0.72,2.24,0.22,3
11489,1976.02,42.65,0.66,2.21,0.21,3
11490,1976.17,32.42,0.66,2.22,0.21,3
11491,1976.32,21.97,0.71,2.23,0.22,3
11492,1976.48,18.439999999999998,0.71,2.26,0.22,3
11493,1976.63,18.9,0.71,2.29,0.23,3
11494,1976.78,19.58,0.71,2.31,0.22,3
11495,1976.93,21.4,0.83,2.28,0.22,3
11496,1977.09,23.010000000000005,0.76,2.25,0.22,3
11497,1977.24,25.22,0.81,2.22,0.22,3
11498,1977.39,26.07,0.72,2.23,0.22,3
11499,1977.54,25.78,0.74,2.25,0.22,3
11500,1977.69,24.88,0.74,2.27,0.22,3
11501,1977.85,22.83,0.82,2.27,0.21,3
11502,1978.0,21.64,0.82,2.27,0.21,3
11503,1978.15,19.72,0.84,2.27,0.21,3
11504,1978.3,18.07,0.78,2.27,0.2,3
11505,1978.46,15.79,0.84,2.28,0.2,3
11506,1978.61,14.649999999999999,0.86,2.29,0.21,3
11507,1978.76,14.36,0.88,2.29,0.21,3
11508,1978.91,14.530000000000001,0.84,2.28,0.21,3
11509,1979.07,14.29,0.82,2.27,0.21,3
11510,1979.22,14.119999999999997,0.81,2.25,0.2,3
11511,1979.37,13.899999999999999,0.8,2.24,0.2,3
11512,1979.52,13.730000000000004,0.8,2.24,0.2,3
11513,1979.68,14.480000000000004,0.76,2.26,0.2,3
11514,1979.83,15.280000000000001,0.75,2.27,0.21,3
11515,1979.98,15.740000000000002,0.75,2.29,0.2,3
11516,1980.13,15.15999999999999,0.77,2.3,0.2,3
11517,1980.29,14.579999999999998,0.77,2.31,0.19,3
11518,1980.44,13.68,0.9,2.29,0.19,3
11519,1980.59,13.230000000000004,0.91,2.27,0.19,3
11520,1980.74,13.469999999999999,0.79,2.26,0.19,3
11521,1980.9,14.199999999999996,0.79,2.25,0.21,3
11522,1981.05,14.769999999999996,0.72,2.24,0.22,3
11523,1981.2,13.920000000000002,0.7,2.23,0.23,3
11524,1981.35,13.18,0.69,2.22,0.23,3
11525,1981.5,12.5,0.7,2.23,0.23,3
11526,1981.66,12.890000000000008,0.7,2.24,0.24,3
11527,1981.81,13.689999999999998,0.69,2.24,0.23,3
11528,1981.96,18.629999999999995,0.73,2.26,0.23,3
11529,1982.11,25.999999999999996,0.85,2.28,0.22,3
11530,1982.27,34.56,0.95,2.29,0.23,3
11531,1982.42,33.83,0.76,2.27,0.22,3
11532,1982.57,27.99,0.68,2.25,0.23,3
11533,1982.72,19.43,0.67,2.25,0.22,3
11534,1982.88,16.47,0.78,2.26,0.22,3
11535,1983.03,15.449999999999996,0.81,2.25,0.21,3
11536,1983.18,15.670000000000002,0.83,2.22,0.22,3
11537,1983.33,15.230000000000004,0.82,2.18,0.24,3
11538,1983.49,15.119999999999997,0.62,2.17,0.24,3
11539,1983.64,15.46,0.66,2.2,0.23,3
11540,1983.79,14.899999999999999,0.7,2.23,0.22,3
11541,1983.94,14.440000000000005,0.68,2.26,0.22,3
11542,1984.1,13.299999999999997,0.65,2.25,0.22,3
11543,1984.25,13.18,0.66,2.25,0.21,3
11544,1984.4,13.350000000000001,0.69,2.25,0.21,3
11545,1984.55,14.89,0.7,2.25,0.21,3
11546,1984.71,16.18,0.71,2.26,0.21,3
11547,1984.86,17.54,0.71,2.27,0.22,3
11548,1985.01,17.200000000000003,0.66,2.34,0.22,3
11549,1985.16,16.35,0.64,2.4,0.21,3
11550,1985.31,14.990000000000002,0.5800000000000001,2.42,0.21,3
11551,1985.47,14.260000000000005,0.47,2.37,0.21,3
11552,1985.62,14.490000000000002,0.3999999999999999,2.35,0.21,3
11553,1985.77,14.659999999999997,0.49,2.36,0.22,3
11554,1985.92,14.43,0.44999999999999996,2.39,0.24,3
11555,1986.08,15.15999999999999,0.4099999999999999,2.41,0.27,3
11556,1986.23,16.739999999999995,0.51,2.41,0.28,3
11557,1986.38,21.519999999999996,0.61,2.46,0.26,2
11558,1986.53,31.91,0.9900000000000001,2.5,0.24,2
11559,1986.69,52.16,2.24,2.45,0.24,0
11560,1986.84,83.25,2.24,2.35,0.24,2
11566,1987.75,84.4,0.93,2.33,0.2,2
11567,1987.91,63.4,1.01,2.36,0.2,3
11568,1988.06,54.36,1.29,2.35,0.2,3
11569,1988.21,55.31,1.29,2.37,0.2,2
11570,1988.36,59.64,1.49,2.38,0.2,2
11571,1988.52,65.66,1.46,2.38,0.2,2
11572,1988.67,71.52,1.68,2.35,0.19,2
11573,1988.82,74.75,1.68,2.33,0.19,2
11574,1988.97,73.44,1.32,2.33,0.18,3
11575,1989.12,69.24,1.16,2.32,0.19,3
11576,1989.28,62.89,1.18,2.37,0.21,2
11577,1989.43,60.79,1.3,2.42,0.22,2
11578,1989.58,62.55,1.73,2.5,0.22,2
11579,1989.73,73.08,2.86,2.47,0.22,0
11589,1991.26,93.26,0.81,2.23,0.24,3
11590,1991.41,87.98,0.77,2.22,0.24,3
11591,1991.56,78.4,0.73,2.21,0.22,3
11592,1991.72,67.89,0.7,2.21,0.22,3
11593,1991.87,54.1,0.69,2.2,0.22,3
11594,1992.02,44.62,0.67,2.21,0.22,3
11595,1992.17,35.26,0.67,2.23,0.22,3
11596,1992.33,30.32,0.67,2.25,0.21,3
11597,1992.48,25.61,0.83,2.25,0.21,3
11598,1992.63,24.13,0.83,2.26,0.21,3
11599,1992.78,27.92,0.83,2.25,0.22,3
11600,1992.93,37.63,0.78,2.26,0.22,3
11601,1993.09,50.17,0.84,2.26,0.22,3
11602,1993.24,63.96,1.04,2.27,0.21,3
11603,1993.39,73.49,0.87,2.26,0.2,3
11604,1993.54,77.12,0.85,2.28,0.2,3
11605,1993.7,68.32,0.86,2.29,0.2,3
11606,1993.85,54.43,0.95,2.31,0.2,3
11607,1994.0,41.27,0.97,2.3,0.21,3
11608,1994.15,35.89,0.97,2.29,0.22,3
11609,1994.31,40.49,0.9900000000000001,2.28,0.22,3
11610,1994.46,49.68,0.98,2.27,0.22,3
11611,1994.61,57.56,0.97,2.29,0.21,3
11612,1994.76,57.15,1.0,2.29,0.21,3
11613,1994.92,54.48,1.0,2.29,0.21,3
11614,1995.07,53.24,1.16,2.28,0.21,3
11615,1995.22,56.52,1.11,2.28,0.21,3
11616,1995.37,61.63,0.86,2.29,0.22,3
11617,1995.53,64.47,0.86,2.26,0.21,3
11618,1995.68,60.45,0.82,2.26,0.21,3
11619,1995.83,52.16,0.8,2.26,0.22,3
11620,1995.98,44.1,0.74,2.27,0.22,3
11621,1996.14,35.81,0.73,2.28,0.22,3
11622,1996.29,30.04,0.73,2.24,0.22,3
11623,1996.44,26.12,0.73,2.22,0.23,3
11624,1996.59,24.929999999999996,0.73,2.2,0.23,3
11625,1996.74,23.55,0.7,2.21,0.23,3
11626,1996.9,22.480000000000004,0.7,2.22,0.22,3
11627,1997.05,22.769999999999996,0.72,2.22,0.22,3
11628,1997.2,23.52,0.72,2.23,0.21,3
11629,1997.35,23.29,0.73,2.24,0.21,3
11630,1997.51,21.810000000000002,0.73,2.25,0.21,3
11631,1997.66,19.939999999999998,0.75,2.25,0.2,3
11632,1997.81,18.629999999999995,0.78,2.25,0.2,3
11633,1997.96,19.65,0.79,2.25,0.2,3
11634,1998.12,20.72,0.8,2.24,0.2,3
11635,1998.27,21.629999999999995,0.79,2.25,0.21,3
11636,1998.42,21.230000000000004,0.77,2.27,0.19,3
11637,1998.57,20.43,0.76,2.29,0.18,3
11638,1998.73,19.799999999999997,0.76,2.28,0.17,3
11639,1998.88,20.03,0.79,2.29,0.17,3
11640,1999.03,19.980000000000004,0.88,2.29,0.17,3
11641,1999.18,19.700000000000003,0.86,2.3,0.18,3
11642,1999.34,19.260000000000005,0.84,2.29,0.19,3
11643,1999.49,20.4,0.83,2.27,0.19,3
11644,1999.64,22.1,0.82,2.26,0.19,3
11645,1999.79,22.32,0.84,2.26,0.19,3
11646,1999.95,21.810000000000002,0.83,2.25,0.19,3
11647,2000.1,22.61,0.85,2.25,0.19,3
11648,2000.25,22.89,0.85,2.27,0.2,3
11649,2000.4,23.79,0.82,2.29,0.19,3
11650,2000.55,22.409999999999997,1.09,2.32,0.18,3
11651,2000.71,23.260000000000005,1.03,2.31,0.17,3
11652,2000.86,25.01,0.95,2.29,0.18,3
11653,2001.01,25.759999999999998,0.84,2.27,0.18,3
